PROOF checkout=/workspace/villa_base/spiral-fitting
PROOF checkpoint shell_outer_winding_idx=130 model_gap_expander_num_windings=130 model_gap_expander_capacity_windings=144
[spiral] reconstructing windings 10..130, z [6528, 7328), step 20
[spiral] reconstructed winding 10 (1/121)
[spiral] reconstructed winding 11 (2/121)
[spiral] reconstructed winding 12 (3/121)
[spiral] reconstructed winding 13 (4/121)
[spiral] reconstructed winding 14 (5/121)
[spiral] reconstructed winding 15 (6/121)
[spiral] reconstructed winding 16 (7/121)
[spiral] reconstructed winding 17 (8/121)
[spiral] reconstructed winding 18 (9/121)
[spiral] reconstructed winding 19 (10/121)
[spiral] reconstructed winding 20 (11/121)
[spiral] reconstructed winding 21 (12/121)
[spiral] reconstructed winding 22 (13/121)
[spiral] reconstructed winding 23 (14/121)
[spiral] reconstructed winding 24 (15/121)
[spiral] reconstructed winding 25 (16/121)
[spiral] reconstructed winding 26 (17/121)
[spiral] reconstructed winding 27 (18/121)
[spiral] reconstructed winding 28 (19/121)
[spiral] reconstructed winding 29 (20/121)
[spiral] reconstructed winding 30 (21/121)
[spiral] reconstructed winding 31 (22/121)
[spiral] reconstructed winding 32 (23/121)
[spiral] reconstructed winding 33 (24/121)
[spiral] reconstructed winding 34 (25/121)
[spiral] reconstructed winding 35 (26/121)
[spiral] reconstructed winding 36 (27/121)
[spiral] reconstructed winding 37 (28/121)
[spiral] reconstructed winding 38 (29/121)
[spiral] reconstructed winding 39 (30/121)
[spiral] reconstructed winding 40 (31/121)
[spiral] reconstructed winding 41 (32/121)
[spiral] reconstructed winding 42 (33/121)
[spiral] reconstructed winding 43 (34/121)
[spiral] reconstructed winding 44 (35/121)
[spiral] reconstructed winding 45 (36/121)
[spiral] reconstructed winding 46 (37/121)
[spiral] reconstructed winding 47 (38/121)
[spiral] reconstructed winding 48 (39/121)
[spiral] reconstructed winding 49 (40/121)
[spiral] reconstructed winding 50 (41/121)
[spiral] reconstructed winding 51 (42/121)
[spiral] reconstructed winding 52 (43/121)
[spiral] reconstructed winding 53 (44/121)
[spiral] reconstructed winding 54 (45/121)
[spiral] reconstructed winding 55 (46/121)
[spiral] reconstructed winding 56 (47/121)
[spiral] reconstructed winding 57 (48/121)
[spiral] reconstructed winding 58 (49/121)
[spiral] reconstructed winding 59 (50/121)
[spiral] reconstructed winding 60 (51/121)
[spiral] reconstructed winding 61 (52/121)
[spiral] reconstructed winding 62 (53/121)
[spiral] reconstructed winding 63 (54/121)
[spiral] reconstructed winding 64 (55/121)
[spiral] reconstructed winding 65 (56/121)
[spiral] reconstructed winding 66 (57/121)
[spiral] reconstructed winding 67 (58/121)
[spiral] reconstructed winding 68 (59/121)
[spiral] reconstructed winding 69 (60/121)
[spiral] reconstructed winding 70 (61/121)
[spiral] reconstructed winding 71 (62/121)
[spiral] reconstructed winding 72 (63/121)
[spiral] reconstructed winding 73 (64/121)
[spiral] reconstructed winding 74 (65/121)
[spiral] reconstructed winding 75 (66/121)
[spiral] reconstructed winding 76 (67/121)
[spiral] reconstructed winding 77 (68/121)
[spiral] reconstructed winding 78 (69/121)
[spiral] reconstructed winding 79 (70/121)
[spiral] reconstructed winding 80 (71/121)
[spiral] reconstructed winding 81 (72/121)
[spiral] reconstructed winding 82 (73/121)
[spiral] reconstructed winding 83 (74/121)
[spiral] reconstructed winding 84 (75/121)
[spiral] reconstructed winding 85 (76/121)
[spiral] reconstructed winding 86 (77/121)
[spiral] reconstructed winding 87 (78/121)
[spiral] reconstructed winding 88 (79/121)
[spiral] reconstructed winding 89 (80/121)
[spiral] reconstructed winding 90 (81/121)
[spiral] reconstructed winding 91 (82/121)
[spiral] reconstructed winding 92 (83/121)
[spiral] reconstructed winding 93 (84/121)
[spiral] reconstructed winding 94 (85/121)
[spiral] reconstructed winding 95 (86/121)
[spiral] reconstructed winding 96 (87/121)
[spiral] reconstructed winding 97 (88/121)
[spiral] reconstructed winding 98 (89/121)
[spiral] reconstructed winding 99 (90/121)
[spiral] reconstructed winding 100 (91/121)
[spiral] reconstructed winding 101 (92/121)
[spiral] reconstructed winding 102 (93/121)
[spiral] reconstructed winding 103 (94/121)
[spiral] reconstructed winding 104 (95/121)
[spiral] reconstructed winding 105 (96/121)
[spiral] reconstructed winding 106 (97/121)
[spiral] reconstructed winding 107 (98/121)
[spiral] reconstructed winding 108 (99/121)
[spiral] reconstructed winding 109 (100/121)
[spiral] reconstructed winding 110 (101/121)
[spiral] reconstructed winding 111 (102/121)
[spiral] reconstructed winding 112 (103/121)
[spiral] reconstructed winding 113 (104/121)
[spiral] reconstructed winding 114 (105/121)
[spiral] reconstructed winding 115 (106/121)
[spiral] reconstructed winding 116 (107/121)
[spiral] reconstructed winding 117 (108/121)
[spiral] reconstructed winding 118 (109/121)
[spiral] reconstructed winding 119 (110/121)
[spiral] reconstructed winding 120 (111/121)
[spiral] reconstructed winding 121 (112/121)
[spiral] reconstructed winding 122 (113/121)
[spiral] reconstructed winding 123 (114/121)
[spiral] reconstructed winding 124 (115/121)
[spiral] reconstructed winding 125 (116/121)
[spiral] reconstructed winding 126 (117/121)
[spiral] reconstructed winding 127 (118/121)
[spiral] reconstructed winding 128 (119/121)
[spiral] reconstructed winding 129 (120/121)
[spiral] reconstructed winding 130 (121/121)
PROOF exported /workspace/export2_base/spiral-checkpoint.tifxyz
