mesh,scroll,window_z,wrap,area_cm2,verdict,median_angle_deg,aligned_lt30,reprova,path
PHerc0125_z6336_w020,PHerc0125,6336,w020,2.21,aprova,4.40,True,False,meshes/PHerc0125/z6336_w020
PHerc0125_z6336_w040,PHerc0125,6336,w040,4.34,,5.90,True,False,meshes/PHerc0125/z6336_w040
PHerc0125_z6336_w060,PHerc0125,6336,w060,6.55,,11.50,True,False,meshes/PHerc0125/z6336_w060
PHerc0125_z6336_w080,PHerc0125,6336,w080,8.15,,12.70,True,False,meshes/PHerc0125/z6336_w080
PHerc0125_z6336_w100,PHerc0125,6336,w100,10.05,,59.10,False,False,meshes/PHerc0125/z6336_w100
PHerc0125_z6944_w020,PHerc0125,6944,w020,2.16,aprova,4.00,True,False,meshes/PHerc0125/z6944_w020
PHerc0125_z6944_w040,PHerc0125,6944,w040,4.23,,7.80,True,False,meshes/PHerc0125/z6944_w040
PHerc0125_z6944_w060,PHerc0125,6944,w060,6.25,,10.10,True,False,meshes/PHerc0125/z6944_w060
PHerc0125_z6944_w080,PHerc0125,6944,w080,8.14,reprova,6.40,True,True,meshes/PHerc0125/z6944_w080
PHerc0125_z6944_w100,PHerc0125,6944,w100,10.10,,9.80,True,False,meshes/PHerc0125/z6944_w100
PHerc0125_z8144_w020,PHerc0125,8144,w020,2.30,aprova,5.30,True,False,meshes/PHerc0125/z8144_w020
PHerc0125_z8144_w040,PHerc0125,8144,w040,4.33,,11.60,True,False,meshes/PHerc0125/z8144_w040
PHerc0125_z8144_w060,PHerc0125,8144,w060,6.22,,11.40,True,False,meshes/PHerc0125/z8144_w060
PHerc0125_z8144_w080,PHerc0125,8144,w080,8.08,,10.00,True,False,meshes/PHerc0125/z8144_w080
PHerc0125_z8144_w100,PHerc0125,8144,w100,9.84,,5.60,True,False,meshes/PHerc0125/z8144_w100
PHerc0125_z8736_w020,PHerc0125,8736,w020,2.38,,8.50,True,False,meshes/PHerc0125/z8736_w020
PHerc0125_z8736_w040,PHerc0125,8736,w040,4.38,,11.00,True,False,meshes/PHerc0125/z8736_w040
PHerc0125_z8736_w060,PHerc0125,8736,w060,6.42,,8.50,True,False,meshes/PHerc0125/z8736_w060
PHerc0125_z8736_w080,PHerc0125,8736,w080,8.16,,12.50,True,False,meshes/PHerc0125/z8736_w080
PHerc0125_z8736_w100,PHerc0125,8736,w100,10.04,,10.60,True,False,meshes/PHerc0125/z8736_w100
PHerc0125_z9344_w020,PHerc0125,9344,w020,2.32,reprova,6.00,True,True,meshes/PHerc0125/z9344_w020
PHerc0125_z9344_w040,PHerc0125,9344,w040,4.54,,10.00,True,False,meshes/PHerc0125/z9344_w040
PHerc0125_z9344_w060,PHerc0125,9344,w060,6.68,,6.70,True,False,meshes/PHerc0125/z9344_w060
PHerc0125_z9344_w080,PHerc0125,9344,w080,8.41,,8.50,True,False,meshes/PHerc0125/z9344_w080
PHerc0125_z9344_w100,PHerc0125,9344,w100,10.17,,14.60,True,False,meshes/PHerc0125/z9344_w100
PHerc0125_z9936_w020,PHerc0125,9936,w020,2.30,reprova,10.20,True,True,meshes/PHerc0125/z9936_w020
PHerc0125_z9936_w040,PHerc0125,9936,w040,4.58,,7.90,True,False,meshes/PHerc0125/z9936_w040
PHerc0125_z9936_w060,PHerc0125,9936,w060,6.63,aprova,15.00,True,False,meshes/PHerc0125/z9936_w060
PHerc0125_z9936_w080,PHerc0125,9936,w080,8.30,,11.50,True,False,meshes/PHerc0125/z9936_w080
PHerc0125_z9936_w100,PHerc0125,9936,w100,10.36,,5.30,True,False,meshes/PHerc0125/z9936_w100
PHerc0125_z10544_w020,PHerc0125,10544,w020,2.44,,9.80,True,False,meshes/PHerc0125/z10544_w020
PHerc0125_z10544_w040,PHerc0125,10544,w040,4.43,,9.90,True,False,meshes/PHerc0125/z10544_w040
PHerc0125_z10544_w060,PHerc0125,10544,w060,6.67,,5.70,True,False,meshes/PHerc0125/z10544_w060
PHerc0125_z10544_w080,PHerc0125,10544,w080,8.39,,8.70,True,False,meshes/PHerc0125/z10544_w080
PHerc0125_z10544_w100,PHerc0125,10544,w100,10.19,,13.00,True,False,meshes/PHerc0125/z10544_w100
PHerc0125_z11744_w020,PHerc0125,11744,w020,2.50,parcial,10.60,True,False,meshes/PHerc0125/z11744_w020
PHerc0125_z11744_w040,PHerc0125,11744,w040,4.49,,8.50,True,False,meshes/PHerc0125/z11744_w040
PHerc0125_z11744_w060,PHerc0125,11744,w060,6.75,,12.30,True,False,meshes/PHerc0125/z11744_w060
PHerc0125_z11744_w080,PHerc0125,11744,w080,8.32,,14.00,True,False,meshes/PHerc0125/z11744_w080
PHerc0125_z11744_w100,PHerc0125,11744,w100,10.29,,15.50,True,False,meshes/PHerc0125/z11744_w100
PHerc0125_z14144_w020,PHerc0125,14144,w020,2.31,,4.70,True,False,meshes/PHerc0125/z14144_w020
PHerc0125_z14144_w040,PHerc0125,14144,w040,4.48,,8.00,True,False,meshes/PHerc0125/z14144_w040
PHerc0125_z14144_w060,PHerc0125,14144,w060,6.81,,5.60,True,False,meshes/PHerc0125/z14144_w060
PHerc0125_z14144_w080,PHerc0125,14144,w080,8.60,,7.10,True,False,meshes/PHerc0125/z14144_w080
PHerc0125_z14144_w100,PHerc0125,14144,w100,10.28,,11.50,True,False,meshes/PHerc0125/z14144_w100
PHerc0125_z14736_w020,PHerc0125,14736,w020,2.44,aprova,7.70,True,False,meshes/PHerc0125/z14736_w020
PHerc0125_z14736_w040,PHerc0125,14736,w040,4.65,,10.00,True,False,meshes/PHerc0125/z14736_w040
PHerc0125_z14736_w060,PHerc0125,14736,w060,6.67,,9.00,True,False,meshes/PHerc0125/z14736_w060
PHerc0125_z14736_w080,PHerc0125,14736,w080,8.55,,9.60,True,False,meshes/PHerc0125/z14736_w080
PHerc0125_z14736_w100,PHerc0125,14736,w100,10.19,,8.00,True,False,meshes/PHerc0125/z14736_w100
PHerc0125_z15344_w020,PHerc0125,15344,w020,2.51,,6.30,True,False,meshes/PHerc0125/z15344_w020
PHerc0125_z15344_w040,PHerc0125,15344,w040,4.75,,7.20,True,False,meshes/PHerc0125/z15344_w040
