scroll,mesh,area_cm2,eye_verdict,alignment_deg,aligned_lt30,reprova,valid_px,ink_S1,ink_S1_reverse,ink_pass_v1,ink_pass_v2,hecate_fwd_ge05,hecate_rev_ge05,hecate_rank,maps_held,surface_volumes_tar,ink_detection_dir
PHerc0125,z6336_w020,2.21,aprova,4.40,True,False,1844779,0.00011268413612243644,0.0012379888954905857,False,False,0.005030412857041412,0.018797915631086435,285,False,https://huggingface.co/datasets/rodriguescarson/eligible-scroll-atlas-renders/resolve/main/PHerc0125/z6336_w020/surface-volumes.tar,https://huggingface.co/datasets/rodriguescarson/eligible-scroll-atlas-renders/resolve/main/PHerc0125/z6336_w020/ink-detection
PHerc0125,z6336_w040,4.34,,5.90,True,False,3736241,0.0010900159703548073,0.0006541615361120974,False,False,0.0045109509798752275,0.006152708029273272,294,False,https://huggingface.co/datasets/rodriguescarson/eligible-scroll-atlas-renders/resolve/main/PHerc0125/z6336_w040/surface-volumes.tar,https://huggingface.co/datasets/rodriguescarson/eligible-scroll-atlas-renders/resolve/main/PHerc0125/z6336_w040/ink-detection
PHerc0125,z6336_w060,6.55,,11.50,True,False,5725004,0.0007479038532085835,0.0014311964809190327,False,False,0.014596671024159983,0.008184972447180822,145,False,https://huggingface.co/datasets/rodriguescarson/eligible-scroll-atlas-renders/resolve/main/PHerc0125/z6336_w060/surface-volumes.tar,https://huggingface.co/datasets/rodriguescarson/eligible-scroll-atlas-renders/resolve/main/PHerc0125/z6336_w060/ink-detection
PHerc0125,z6336_w080,8.15,,12.70,True,False,7105570,0.000239786302447259,0.00029413786433530437,False,False,0.006178955382889761,0.007679327626073629,270,False,https://huggingface.co/datasets/rodriguescarson/eligible-scroll-atlas-renders/resolve/main/PHerc0125/z6336_w080/surface-volumes.tar,https://huggingface.co/datasets/rodriguescarson/eligible-scroll-atlas-renders/resolve/main/PHerc0125/z6336_w080/ink-detection
PHerc0125,z6336_w100,10.05,,59.10,False,False,8356871,0.00109614096596871,0.0015365436334147942,False,False,0.004889748806700498,0.004226940920830297,288,False,https://huggingface.co/datasets/rodriguescarson/eligible-scroll-atlas-renders/resolve/main/PHerc0125/z6336_w100/surface-volumes.tar,https://huggingface.co/datasets/rodriguescarson/eligible-scroll-atlas-renders/resolve/main/PHerc0125/z6336_w100/ink-detection
PHerc0125,z6944_w020,2.16,aprova,4.00,True,False,1792296,0.0019290021788237724,0.0011753209996658504,False,False,0.0033454295495833277,0.01200136584582011,307,False,https://huggingface.co/datasets/rodriguescarson/eligible-scroll-atlas-renders/resolve/main/PHerc0125/z6944_w020/surface-volumes.tar,https://huggingface.co/datasets/rodriguescarson/eligible-scroll-atlas-renders/resolve/main/PHerc0125/z6944_w020/ink-detection
PHerc0125,z6944_w040,4.23,,7.80,True,False,3596550,0.0008460343617683932,0.0007022689700668365,False,False,0.001989128470339631,0.00608805660980662,320,False,https://huggingface.co/datasets/rodriguescarson/eligible-scroll-atlas-renders/resolve/main/PHerc0125/z6944_w040/surface-volumes.tar,https://huggingface.co/datasets/rodriguescarson/eligible-scroll-atlas-renders/resolve/main/PHerc0125/z6944_w040/ink-detection
PHerc0125,z6944_w060,6.25,,10.10,True,False,5383124,0.005134907103056722,0.00018262994146701588,False,False,0.007968607076485699,0.005854221452078756,237,False,https://huggingface.co/datasets/rodriguescarson/eligible-scroll-atlas-renders/resolve/main/PHerc0125/z6944_w060/surface-volumes.tar,https://huggingface.co/datasets/rodriguescarson/eligible-scroll-atlas-renders/resolve/main/PHerc0125/z6944_w060/ink-detection
PHerc0125,z6944_w080,8.14,reprova,6.40,True,True,7078604,0.0011524477991253423,0.00017744355678127007,False,False,0.00302192353181503,0.004267790654767522,311,False,https://huggingface.co/datasets/rodriguescarson/eligible-scroll-atlas-renders/resolve/main/PHerc0125/z6944_w080/surface-volumes.tar,https://huggingface.co/datasets/rodriguescarson/eligible-scroll-atlas-renders/resolve/main/PHerc0125/z6944_w080/ink-detection
PHerc0125,z6944_w100,10.10,,9.80,True,False,6581768,0.000715444766483378,0.000506239444346057,False,False,0.003214181964481276,0.003963980498856842,310,False,https://huggingface.co/datasets/rodriguescarson/eligible-scroll-atlas-renders/resolve/main/PHerc0125/z6944_w100/surface-volumes.tar,https://huggingface.co/datasets/rodriguescarson/eligible-scroll-atlas-renders/resolve/main/PHerc0125/z6944_w100/ink-detection
